sequence,visit_day,request_wave,priority,chapter,cluster_title,request_identifier,request_type,source_part,office,visit_goal,why_it_matters,first_onsite_action,onsite_actions,target_terms,capture_folder_title,capture_box_or_container,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_withdrawal_or_redaction_notes,capture_volume_boundary,candidate_disposition,final_source_note,source_note
80,Day 2,Day 2 / 12.08,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3112,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3112. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
81,Day 2,Day 2 / 12.09,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3114,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3114. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
82,Day 2,Day 2 / 12.10,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3115,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3115. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
83,Day 2,Day 2 / 12.11,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3117,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3117. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
84,Day 2,Day 2 / 12.12,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3118,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3118. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
85,Day 2,Day 2 / 12.13,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3410,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3410. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
86,Day 2,Day 2 / 12.14,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3495,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3495. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
87,Day 2,Day 2 / 12.15,B,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,OA/ID 3499,OA/ID request,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks","Pull legal files after policy folders identify decision points. Use them for treaty interpretation, executive orders, sanctions, and implementation source notes.","The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.","Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Avoid spending first-day time on broad legal files unless they connect to a known decision date.",CWC; BWC; CTBT; START II; ABM; HEU; WMD; Iran missile sanctions,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3499. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
88,Defer,Defer / 13.01,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 1853,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 1853. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
89,Defer,Defer / 13.02,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 1854,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 1854. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
90,Defer,Defer / 13.03,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 1857,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 1857. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
91,Defer,Defer / 13.04,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 1858,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 1858. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
92,Defer,Defer / 13.05,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 2189,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 2189. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
93,Defer,Defer / 13.06,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 3381,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 3381. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
94,Defer,Defer / 13.07,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 3384,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 3384. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
95,Defer,Defer / 13.08,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 3387,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 3387. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
96,Defer,Defer / 13.09,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 415,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 415. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
97,Defer,Defer / 13.10,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 420,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 420. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
98,Defer,Defer / 13.11,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 422,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 422. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
99,Defer,Defer / 13.12,C,Volume Control,Speechwriting backtrace for public statements,OA/ID 423,OA/ID request,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer","Use speechwriting folders only after internal policy folders. They are excellent for public-statement drafting, clearance, and chronology, but weak as standalone policy-decision records.","This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.,"Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.; Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.",speechwriting; START II; CTBT; CWC; NPT; North Korea; public statement,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 423. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
